article_id,title,section,snippet
1165,Controversy surrounding Owens #39; MNF promo touches deep social &lt;b&gt;...&lt;/b&gt;,Sports,"I should #39;ve known this latest Terrell Owens story wouldn #39;t have vanished quickly. It involves sex, money, sports and, most critically, race."
1166,Update 13: Greenspan Sounds Alert on Social Security,Business,"Federal Reserve Chairman Alan Greenspan has done it again. For at least the fourth time this year, he has touched the electrified third rail of American politics - Social Security."
1167,Column: Jordan Will Not Go Down Without a Fight,Sports,"SAO PAULO (Reuters) - Last year Jordan won the Brazilian Grand Prix against the odds, now they are fighting for survival."
1168,Experiment confirms existence of new electronic state in &lt;b&gt;...&lt;/b&gt;,Sci/Tech,"The existence of a new electronic state in superconductors, materials that can carry an electric current without resistance, has been confirmed experimentally according to research to be published in the 12 November 2004 issue of the journal Science by a"
1169,"Nintendo Sells 500,000 DS Handhelds in First Week",Sci/Tech,"NEW YORK (Reuters) - Nintendo Co. Ltd.&lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=7974.OS qtype=sym infotype=info qcat=news""&gt;7974.OS&lt;/A&gt; sold 500,000 Nintendo DS video game devices during the first week of sales in U.S. stores for the new handheld featuring two screens for game playing, the Japanese game maker said on Wednesday."
1170,IT and business align around rules and patterns,Business,"Aligning technology and business what a concept. Everyone is talking about it, but to put things in perspective, I imagine the day after the wheel was invented the wife of the inventor got sick and tired of watching her husband roll it down the hill all day. She probably said, Cyxny, honey, why dont you make another one and put them on the cart?"
1171,Somali president names prime minister to head reconciliation &lt;b&gt;...&lt;/b&gt;,World,": Somalia #39;s new president named a prime minister, choosing a member from another of the four largest clans to preside over what is hoped will be a government of reconciliation in the war-ravaged country."
1172,Mobile Mappers Stop Short of Ideal,Sci/Tech,"Thanks to such free mapping sites as MapQuest and Yahoo Maps, it's been a while since road warriors have had to sketch out a route with a yellow highlighter, guessing which shortcuts to take or avoid. Instead, they can just type in start and destination addresses and print out crisply labeled, turn-by-turn directions, with the only cost being some printer ink."
1173,Deutsche Bank Arm in Multi-Million Dollar Payout,Business,"The brokerage unit of Deutsche Bank has voluntarily agreed to pay almost \$90 million in compensation to settle allegations of misconduct, US regulators announced Friday."
1174,"Dr. Phil Interviews President, First Lady (AP)",World,"AP - President Bush says it's ""awfully difficult"" for parents to urge their children not to drink and drive if they do it themselves."
1175,Iraq Pledges to Improve Oil Security,Business,The man in charge of Iraq #39;s massive oil sector promised to better protect infrastructure critical to production and exports as saboteurs underscored the difficulty of that task by blowing up a pipeline junction in northern Iraq.
1176,Iraq Hostage Fate Hangs in Perilous Balance,World,"The fate of a British hostage kidnapped in Baghdad was looking increasingly perilous today, after his Muslim extremist captors threatened to kill him if their demands are not met."
1177,"Kashmir policeman killed, four injured in rebel aattacks (AFP)",World,"AFP - A policeman was killed and four people injured, one a civilian, in two separate ambushes by Islamic militants in Indian Kashmir, police said."
1178,Crew prepares for launch to International Space Station,Sci/Tech,"A two-man crew launches to the International Space Station tonight, tasked with keeping the outpost running and ready for space shuttles that will arrive after the men leave."
1179,Wallace retiring after 05,Sports,Rusty Wallace is etched in history for having won the first NASCAR Nextel Cup race ever held at New Hampshire International Speedway.
1180,Apple puts edit tools in one basket,Sci/Tech,Bundle of professional video editing applications includes new Motion special-effects software.
1181,Minimum Wage to Increase in New York,World,Republicans in the State Senate forced through a measure to gradually raise the minimum wage by \$2 to \$7.15 an hour by January 2007.
1182,Envoys in Iraq on mission to save British hostage,World,Two members of the Muslim Council of Britain are in Iraq planning to meet Muslim leaders in Baghdad in an attempt to seek the release of the British hostage Ken Bigley.
1183,ING Subpoenaed by Spitzer in Insurance Market Probe (Update2),Business,"ING Groep NV, the biggest Dutch financial-services company, received a subpoena from New York Attorney General Eliot Spitzer and said it #39;s cooperating with his insurance market probe."
1184,Rights Activists Denounce Putin's Reforms (AP),World,AP - Hundreds of Kremlin critics gathered Sunday on Constitution Day to denounce what they call a retreat from democracy as President Vladimir Putin signed a bill scrapping gubernatorial elections.
1185,Eight Held in Dutch Filmmaker #39;s Slaying,World,Police arrested eight more suspected Islamic radicals Wednesday in the slaying of a Dutch filmmaker who criticized Muslim customs.
1186,Freeview fans buy second boxes,Sci/Tech,More than one million UK households now have two or more Freeview boxes for different television sets.
1187,TORRE SERVES HIS BAN (New York Post),Sports,"New York Post - TORONTO #x2014; Suspended by MLB for yesterday's game, Yankee manager Joe Torre opted not to come to SkyDome at all, as Kevin Brown made his second start since returning from a broken left hand."
1188,Hokies' Imoh Is Ailing,Sports,Virginia Tech tailback Mike Imoh won't practice this week because of a strained hamstring and a bout of the flu and is questionable to play in Saturday's game against Virginia.
1189,US broker faces credit downgrade,Business,"MARSH amp; McLENNAN, the worlds biggest insurance broker, was last night facing a potentially crippling downgrade of its credit rating by Standard amp; Poors, after its borrowing power was all but frozen by its bankers."
1190,"Web Sites Spoof Bush, Kerry With Parodies",Sci/Tech,"If you're not ready to feverishly debate Iraq or the deficit in this bitterly divisive election year, you can always surf the Web, where politics is frequently nothing but a big joke."
1191,Thrilling Relay Win Gets Phelps Third Gold,World,"ATHENS, Greece - Now this was a duel in the pool. With Michael Phelps leading off Tuesday night, the United States bested its rival from Down Under in the most thrilling race of the Athens Games..."
1192,BearingPoint wins \$229M DHS contract,Sci/Tech,"SEPTEMBER 24, 2004 (COMPUTERWORLD) - The US Department of Homeland Security this week awarded BearingPoint Inc. a \$229 million IT contract to help consolidate and manage the agency #39;s vast financial resources and assets."
1193,Indonesian earthquake kills sixteen,World,"An earthquake registering 6.0 on the Richter scale shook a remote island in eastern Indonesia on Friday, killing 16 people and injuring dozens more, a government official said."
1194,Historic Turkey-EU deal welcomed,World,The European Union #39;s decision to begin entry talks with Turkey has received a widespread welcome. But Turkish Prime Minister Recep Tayyip Erdogan will face tough questions at home about what he has signed up to.
1195,NASA to Announce New Class of Planets (AP),Sci/Tech,"AP - Astronomers have discovered four new planets in a week's time, an exciting end-of-summer flurry that signals a sharper era in the hunt for new worlds."
1196,Eagles Clobber Packers,Sports,"Donovan McNabb sets a career high with five touchdown passes and an Eagles' team-record 464 yards as Philadelphia outclasses the Packers, 47-17."
1197,"Oil Hits High; Dollar, Stocks Slide",Business,"LONDON (Reuters) - Oil prices hit new record highs Monday and the dollar slid against major currencies, piling up worries in financial markets about slower growth and thinner corporate profits."
1198,"Employers Add 112,000 New Jobs in Nov.",Business,"Employers slowed their hiring as they headed into the holiday shopping season, adding just 112,000 new jobs in November for the weakest gain in five months."
1199,Canadian Despatie leads heading into 10-metre tower final at &lt;b&gt;...&lt;/b&gt;,Sports,ATHENS (CP) - Canadian diver Alexandre Despatie lost his bid for a second medal in Athens after finishing fourth Saturday in the men #39;s 10-metre tower.
1200,CA CEO: IT is too complex,Sci/Tech,Editor #39;s Summary: The new CEO at Computer Associates has spoken! He said in a speech this week that IT products are not being designed with the customers #39; needs in mind and that the products out there are too complex.
1201,"Intel boards a faster bus, picks up Dell",Sci/Tech,Intel Corp. is expected to release a faster version of its powerful but expensive Pentium 4 Extreme Edition processor on Monday alongside the introduction of a chipset that uses a faster front-side bus to connect the processor and the memory.
1202,Kwan to Skip Grand Prix Season Again,Sports,"COLORADO SPRINGS, Colo. Oct. 11, 2004 - Michelle Kwan is taking a pass on figure skating #39;s Grand Prix series again."
1203,Patterson Wins All-Around Gold,Sports,Carly Patterson became the first American woman to win the gymnastics all-around competition since Mary Lou Retton in 1984.
1204,Shatner aims for real  #39;Star Trek #39;,Sci/Tech,"LONDON, England -- William Shatner wants to boldly go where he #39;s only pretended to go so far. The quot;Star Trek quot; star is among more than 7,000 people who have told Richard Branson they would gladly pay him \$210,000"
1205,Steelers #39; defense has rookie quarterback Eli Manning in its sights,Sports,"So if the back-up nose tackle of the Steelers (12-1) gets a sack in the 1:30 pm game, you know it #39;s going to be another long day for Manning and the Giants (5-8)."
1206,Intel Cancels Top-Speed Pentium 4 Chip,Sci/Tech,"Intel Corp. (INTC.O: Quote, Profile, Research) on Thursday canceled plans to introduce its highest-speed desktop computer chip, ending for now a 25-year run that has"
1207,Finding what works for handling piggy bank (USATODAY.com),Business,"USATODAY.com - Personal finance software programs are the computer industry's version of veggies: Everyone knows they're good for you, but it's just hard to get anyone excited about them."
1208,Omar Abdullah survives assassination bid,World,"SRINAGAR: The head of held Kashmir #39;s main opposition party, Omar Abdullah, survived an assassination bid Sunday for the second time in a month when rebels exploded a bomb a few steps away from him, police said."
1209,Israel 'worried over world image',World,"A secret Israeli report warns Israel's world image could fall as low as South Africa's during the apartheid era, reports say."
1210,Telecom Italia buys mobile stake,Business,Telecoms giant Telecom Italia is expected to pay 20bn euros (\$26.7bn; 13.8bn) for the 44 it does not already own of its mobile arm.
1211,Hundreds mourn loss of student killed by police during Red Sox &lt;b&gt;...&lt;/b&gt;,Sports,Hundreds of mourners filed into a church Tuesday to pay final respects to an Emerson College student killed by a pepper-spray pellet fired by police during raucous
1212,Delta gets American Express aid,Business,Delta Air Lines Inc. said Monday it has obtained up to \$600 million in new financing as the struggling carrier seeks to avoid bankruptcy.
1213,Seagate ships 'world first' 400GB PC HDDs,Sci/Tech,"A 7200rpm unit that's as fast as a 10,000rpm job, apparently"
1214,"Abbas, clear favourite to succeed Arafat, escapes from Gaza &lt;b&gt;...&lt;/b&gt;",World,"GAZA CITY, Nov 14 (AFP) - Gunmen killed two members of the security services in Gaza City Sunday as PLO chairman Mahmud Abbas visited a mourning tent for Yasser Arafat, underlining fears the Palestinian leader #39;s death could trigger an upsurge in"
1215,Design for Living (Forbes.com),Sci/Tech,Forbes.com - Patrick Whitney's cell phone drives him crazy. Its speed-dial settings do not change when he travels to another city. He can't send a message to his online calendar.
1216,World Chip Plants Run at Fastest Rate in 4 Years (Reuters),Sci/Tech,"Reuters - The world's chip factories operated at\their fastest rate in almost four years in the April-June\period, boosted by demand for chips for cellphones and digital\appliances such as flat-panel TVs, an industry group said on\Tuesday."
1217,Croatia Removes Nazi-Era Leaders' Plaques,World,"ZAGREB (Reuters) - Under heavy police security, Croatia removed two plaques commemorating Nazi-era officials on Friday in the first such action since independence in 1991."
1218,"Regaining Fury, Hurricane Ivan Churns Toward Cuba",Sci/Tech,"Hurricane Ivan will pass near or over the western tip of Cuba today. The powerful Category Five storm, which has already claimed 65 lives, will bring devastating winds and a potential storm surge of 20 feet (6 meters) or more."
1219,Dollar Jumps as the G7 Fades,Business,"LONDON (Reuters) - The dollar surged against the euro, yen and Swiss franc on Monday as, with a Group of Seven rich nations meeting out of the way, the greenback was free to join a wave of optimism about the U.S. economy."
1220,Microsoft debuts MSN Spaces for bloggers,Sci/Tech,"Hoping to keep more Internet users in its branded universe, Microsoft Corp. has become the latest company to offer blogging to the masses."
1221,Learning  Is a Dangerous Thing to Deduct,Business,"Tax law has long allowed a taxpayer to deduct the cost of work-related education if it maintains or improves skills needed in his or her present job or business, or if it is required by an employer."
1222,Modified animals continue trend,World,"The use of genetically modified animals in UK labs continues to grow, official statistics released on Tuesday show."
1223,Virtual Server becomes reality,Sci/Tech,"After two years of fits and starts, Microsoft will finally deliver its Virtual Server 2005 product, which company officials contend will be an important contributor to its Dynamic Systems Initiative (DSI), the company #39;s plan for managing distributed"
1224,Sharapova on Course for Third Title with Dementieva Win,Sports,"ZURICH (Reuters) - Wimbledon champion Maria Sharapova remained on course for a third successive WTA title by beating fellow Russian Elena Dementieva 4-6, 6-2, 6-3 in the semi-finals of the Zurich Challenge on Saturday."
1225,Top-Ranked USC Blanks Washington,Sports,"LOS ANGELES (Sports Network) - Matt Leinart threw a pair of touchdown passes and LenDale White ran for two scores, as No. 1 Southern California blanked Washington, 38-0, in a Pac-10 mismatch at the Coliseum."
1226,Alcatel Says Closing in on China 3G Mobile Deal (Reuters),Sci/Tech,"Reuters - French telecoms equipment maker\Alcatel is nearing a deal with a Chinese peer on cooperating to\build third-generation (3G) mobile phone networks using a\Chinese technology standard, a senior executive said."
1227,US Request For British Redeployment Poses Dilemma For London,World,The United States has made a controversial request to Britain to re-deploy some of its troops in Iraq. The request would involve moving hundreds of British troops from their relatively calm zone in southern
1228,Bush goal: Palestinian nation,World,"President George W. Bush pledged Friday to spend some of the political capital from his re-election trying to secure a lasting Middle East peace, and he envisioned the establishment"
1229,China's online game industry could grow seven-fold in two years (AFP),Sci/Tech,"AFP - China's online game industry could grow seven-fold to become a billion-dollar business within the next two years, state media cites industry insiders as saying."
1230,3 Lebanese murdered in Baghdad heist,World,"BEIRUT: Three Lebanese citizens were murdered early Friday morning, and a fourth critically injured, in the Iraqi capital of Baghdad."
1231,"Investors: Nortel may axe 5,000 jobs",Business,"OTTAWA (Reuters) - Nortel Networks Corp. investors predicted Tuesday the telecom equipment giant will again slash jobs when it reports long-overdue results this week, and shrugged off news of another criminal probe into its high-profile accounting woes."
1232,NHL Network programming: Lockout style,Sports,"Although the world seems more out of control than ever, it #39;s reassuring to know one thing has retained its original essence: the soul-sucking, creativity-crushing, black hole of brain cells we call TV programming."
1233,PeopleSoft Warming To Oracle #39;s Offer?,Business,What Oracle CEO Larry Ellison has longed to hear from PeopleSoft behind closed doors instead floated to the surface in a Delaware courthouse.
1234,First insects are cloned,Sci/Tech,"As if there weren #39;t enough of them in the world already, scientists have succeeded in cloning flies. The identical fruitflies are the first insects ever cloned, says the Canadian team that created them."
1235,Calif. Panel Weighs Greenhouse Gas Plan for Cars (Reuters),Sci/Tech,"Reuters - A plan to require automakers to\cut greenhouse gas emissions from cars and trucks by about 30\percent is expected to be approved on Thursday by the\California Air Resources Board, backers and opponents said."
1236,"Plans in place to close up shop in Montreal, open up in Washington",Sports,"The Expos president has lists prepared and plans in place to close up shop in Montreal and rebuild the franchise in Washington. He #39;ll begin to act once Major League Baseball confirms the club #39;s move, something which could happen as soon as Thursday."
1237,New Hybrid Disc Offers CD-DVD Combination,Sci/Tech,"SAN DIEGO (AP) -- Recording companies looking to wring more profits out of music sales are hoping to sell retailers on a new hybrid disc. On one side is standard CD audio; on the other, the enhanced sound, video and other media capabilities of a DVD..."
1238,Sox Ace Eyes Return,Sports,"Boston pitcher Curt Schilling threw in the bullpen for the second time in three days Sunday, but it was unclear whether he would be available for the rest of the ALCS."
1239,Hostage crisis unites France behind headscarf ban,World,"PARIS -- French critics and defenders of a ban on Muslim headscarves in schools united in support of the law yesterday, pledging to stand firm against militants holding two French journalists hostage in Iraq who want the law revoked."
1240,Jets C Mawae Breaks Right Hand (AP),Sports,AP - Jets Pro Bowl center Kevin Mawae broke his right hand in Sunday's 34-28 win against the San Diego Chargers.
1241,Dutch Minister's World Revealed in 'Blog' (Reuters),Sci/Tech,"Reuters - Dutch Finance Minister Gerrit Zalm\says his ""blog"" -- personal diary on the Internet -- gives\people an idea of what it is to be a minister, with insights\into his professional and private life."
1242,Hurricane Frances imperils space flight #39;s scheduled return,Sci/Tech,Hurricane Frances ripped hundreds of panels from NASA #39;s huge space shuttle assembly hangar and officials feared Monday that another powerful tropical storm heading toward Florida could slow down the return of manned space flights.
1243,New Zimbabwe restrictions target aid groups,World,A proposed law would limit foreign funding of churches and AIDS programs.
1244,Microsoft Offers Users Legal Protection (PC World),Sci/Tech,PC World - Software giant expands its indemnification program to cover the majority of its customers.
1245,Bama offense faces tough test,Sports,"Like most Alabama fans, injured quarterback Brodie Croyle will sweat out tonight #39;s LSU game at home. If, somehow, the Crimson Tide can knock off the 17th-ranked Tigers, Croyle"
1246,Nasas scramjet breaks speed record at 7000mph,Sci/Tech,"An unmanned Nasa jet screamed into the record books high over the Pacific Ocean by reaching speeds of almost 7000 mph, brightening hopes that humans might one day be able to fly across a continent in minutes instead of hours."
1247,CA set to buy Netegrity for 241m,Business,"Computer Associates plans to buy security software firm Netegrity, in a deal valued at \$430 million (241m). The acquisition will strengthen the firm #39;s position in the IT security market and builds on last"
1248,#39;Half-Life #39; sequelenters excitingnew territory,Sci/Tech,"It #39;s been a long commute for Gordon Freeman. He nodded off on the train from Black Mesa six years ago, exhausted from his victory over the vile, slime-spewing aliens infesting the atomic research station."
1249,Job Growth Weaker Than Expected,Business,"WASHINGTON (Reuters) - U.S. businesses added 96,000 jobs to payrolls in September, the government reported on Friday, a weaker-than-expected total that was expected to sharpen a presidential debate later in the day over the economy's direction."
1250,Can He Stop the Killing?,World,The Palestinians' likely next President hopes to take on the militants--and Arafat's legacy
1251,Sports: Broncos 20 Panthers 17,Sports,"DENVER Denver #39;s long line of stellar running backs continues. Backup Reuben Droughns (drohns), filling in for injured Quentin Griffin, ran for 193 yards on 30 carries as the Broncos held off Carolina 20-to-17."
1252,Nokia #39;s Goal: Cell-Phone Planet,Sci/Tech,The biggest-selling electronic product in the world is mobile phones. Analysts estimate that consumers from Canada to China will snap up more than 600 million handsets this year -- five times the number of TVs or personal computers expected to sell.
1253,Update 4: GM Europe Offers Generous Buyouts in Deal,Business,"General Motors Corp. offered German workers generous buyouts Thursday to pave the way for up to 12,000 job cuts in Europe, where the world #39;s largest automaker is struggling to end years of losses amid fierce competition and weak demand."
1254,Investors in Google search for strategy (USATODAY.com),Sci/Tech,"USATODAY.com - Google's stock has now traded for its first full week, inviting stock jocks to start handicapping whether or not it will hold onto its early gains or get the goo knocked out of it."
1255,Spurrier withdraws from Florida coaching search,Sports,"After spending more than a week thinking about it, Spurrier decided Thursday to remove his name from consideration to replace Ron Zook."
1256,Study: 1 in 3 Adults Has Hypertension,World,"DALLAS - As Americans get older and fatter, the number of adults with high blood pressure has climbed to almost one in three over the past decade, putting more people at risk of a stroke, heart attack or kidney failure, government researchers said Monday. A little more than a decade ago, the number was closer to one in four..."
1257,Hu unlikely to ease up on Taiwan and HK: analysts,World,"President Hu Jintao ( ) could ease China #39;s hardline stance on Taiwan and Hong Kong now that his predecessor Jiang Zemin ( ) has retired but major policy changes are unlikely, analysts said yesterday."
1258,Davenport rolls; Dementieva ousted in Filderstadt,Sports,"Filderstadt, Germany (Sports Network) - Former world No. 1 Lindsay Davenport easily won her second-round match on Wednesday, but last week #39;s Hasselt champion Elena Dementieva was among the first-round losers at the \$650,000 Porsche Tennis Grand Prix."
1259,"Manchester United Says TV Revenue Will Plunge, Hurting Profit",Sports,"Manchester United, the world #39;s biggest soccer club, said revenue from broadcasting, a third of its total income, may plunge 25 percent next year as the team earns less from televised games in England and Europe."
1260,US push to rid Mosul of insurgents,World,"American troops and Iraqi security forces launched a major operation to regain control of Mosul yesterday, after a week of lawlessness which saw large parts of Iraq #39;s third city fall under the control of militants determined to open a new front in the"
1261,UM scientist helping explore Saturn moon,Sci/Tech,MISSOULA -- A University of Montana physics professor will be helping scientists explore one of the largest moons in the solar system next week.
1262,Retired Ricky to stay that way,Sports,"Ricky Williams has stuck it to the Dolphins one more time. By deciding once again he wants no part of playing football, he ruins any chance Miami had of trading him in the offseason for a No."
1263,Satellite write-downs widen DirecTV #39;s loss,Business,"DirecTV Group, the largest satellite television programmer, said its loss widened considerably in the third quarter because of a one-time charge to pay for new satellites."
1264,Consumers Fuel Faster Economic Growth,Business,"Robust consumer spending on cars, furniture and food helped the US economy advance faster than first thought in the third quarter, a government report showed, while underlying inflation was the tamest in decades."
1265,Borders Posts 3rd-Quarter Loss Vs Yr. Ago,Business,SAN FRANCISCO (Reuters) - No 2. U.S. book retailer Borders Group Inc.
1266,South Korea's chief nuclear negotiator leaves for Japan (AFP),World,"AFP - South Korea's top nuclear negotiator left for Japan to discuss ways to break a deadlock in six-nation talks on North Korea's nuclear weapons programs, officials said."
1267,2.5 auto insurance rate hike reaffirmed,Business,"The state's highest court affirmed an already approved 2.5 percent average increase in auto insurance premiums for this year, but said the insurance commissioner may have to revise her decision in a way that would ease premiums for certain drivers. The Supreme Judicial Court rejected Attorney General Thomas F. Reilly's challenge of a new formula used by Insurance Commissioner Julianne ..."
1268,A River Pulled in Two Directions,World,"The Lower Delaware, site of a recent oil spill, seems as if it has been mistakenly stuck at the end of the pristine Upper Delaware."
1269,Lebedeva makes amends in long jump,Sports,Tatyana Lebedeva led a Russian 1-2-3 in the Olympic women #39;s long jump final as Marion Jones of the United States missed out on a medal.
1270,Fonterra proposal is  quot;bird in the hand quot;,Business,"Fonterra is aiming for a significant share of the Australian dairy foods market, with a bid for one of Australia #39;s largest operators."
1271,Johnson Move to Yankees Under Threat,Sports,NEW YORK (Reuters) - A complicated three-team deal designed to bring five-times Cy Young award winner Randy Johnson to the New York Yankees was under threat on Friday.
1272,Citigroup loses three executives,Business,"Three of Citigroup #39;s most senior executives are to leave the Wall Street heavyweight following the closure of its Japanese operations, reports say."
1273,Enterprise Search Vendors Eye Emerging Markets (Ziff Davis),Sci/Tech,"Ziff Davis - FAST launches an application to help directory publishers compete in local search, while Copernic dives into the desktop-search arena."
1274,Digital Agenda: Homeland Security--Throwing money at technology (page 2),Sci/Tech,"Strategic conflicts, rampant confusion and election-year politics are slowing the war on terror. A News.com special report."
1275,Could Kinsey's Sex Research Be Done Today?,Sci/Tech,"When Alfred Kinsey's sexual-behavior studies were published half a century ago, the United States was shocked. The topic remains so sensitive that some scientists think Kinsey would not have been able to do his work today."
1276,Chinese lead pairs; Bulgarians lead ice dance,Sports,Former world champions Shen Xue and Zhao Hongbo of China won won the short program at Skate Canada with 66.48 points Thursday night.
1277,Ulmer has golden glow,Sports,Exhausted cyclist Sarah Ulmer is still on a high from taking gold at the Olympics in world record time. She is back at the Olympic village and still cannot believe the number of New Zealanders at the velodrome to cheer her on.
1278,New York City Lowering Its Sights for a Convention Boom,World,"With the Republican National Convention just two weeks away, signs are pointing to a modest economic boost for few businesses."
1279,Pfizer Profit Up on Demand for Key Drugs,Business,"NEW YORK (Reuters) - Pfizer Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PFE.N target=/stocks/quickinfo/fullquote""&gt;PFE.N&lt;/A&gt;, the world's biggest drugmaker, on Wednesday said third-quarter earnings rose on higher sales of key medicines and favorable foreign exchange factors."
1280,Atlanta Named Third Most Dangerous City,Business,"A Kansas company #39;s yearly ranking based on crime statistics shows that Camden, New Jersey, has become the nation #39;s most-dangerous city."
1281,Senate Hears Testimony on Porn Addiction (AP),World,"AP - Comparing pornography to heroin, researchers on Thursday called on Congress to finance studies on ""porn addiction"" and launch a public health campaign about the dangers."
1282,TSA unveils new passenger prescreening program,Sci/Tech,"The Transportation Security Administration today took the wraps off the Secure Flight passenger prescreening program, which it seeks to build as a replacement for the Computer Assisted Passenger Prescreening Program that airlines use to keep suspect"
1283,France #39;s  #39;Watergate #39; trial opens,World,"PARIS, Nov 15 (AFP) - In an affair described as France #39;s equivalent of Watergate, 12 former government officials and senior police officers go on trial in Paris Monday for running a phone-tapping operation which was used by the late president Francois"
1284,Tony Blair To Undergo Surgery,World,"British Prime Minister Tony Blair said he would undergo a routine operation Friday to correct an irregular heartbeat. Blair announced the plans for the medical procedure Thursday night, just hours after"
1285,Test of US missile defence shield fails,Business,An attempt to launch an interceptor missile as part of the US missile defence shield failed early Wednesday in the first test of the system in nearly two years.
1286,Al Qaeda's Uzbek bodyguards,World,"As Pakistan rounds up more Al Qaeda operatives in its cities, hundreds of Uzbek fighters remain in the tribal hills."
1287,Harvard handles BU,Sports,"Last Tuesday night, Harvard knocked off rival Boston College, which was ranked No. 1 in the country. Last night, the Crimson knocked off another local foe, Boston University, 2-1, at Walter Brown Arena, which marked the first time since 1999 that Harvard had beaten them both in the same season."
1288,'The Sims 2' hits one million sales,Sci/Tech,"The virtual life game sold more than a million copies in its first 10 days on the market, Electronic Arts said."
1289,Automakers Give Biodiesel a Boost,Sci/Tech,DaimlerChrysler and General Motors help biodiesel -- fuel that can be made from soybeans -- gain some traction in the United States and Europe. By John Gartner.
1290,Tax Service Raises 2001 Yukos Bill to \$4.1Bln,Business,"The Federal Tax Service slapped Yukos with a \$4.1 billion back-tax bill for 2001 on Friday, \$700 million more than its original claim, which was announced July 1. The amended bill, the"
1291,"Illinois Democrat Wins Kenyan Hearts, in a Landslide",World,"The people of Nyang'oma, Kenya, are dreaming of good fortune for their remote village should Barack Obama be elevated to high office."
1292,WS-Reliability middleware released as open source,Sci/Tech,Three proponents of the WS-Reliability standard late last week released messaging software based on the specification as open source.
1293,Penn State heading in right direction,Sports,"After a spring in which Joe Paterno went from bad cop to really bad cop, the Nittany Lions responded with their finest season-opening performance in five years."
1294,Dollar Down But Seen in Ranges,Business,TOKYO (Reuters) - The dollar fell against the euro and the yen on Wednesday in the wake of comments from the European Central Bank president suggesting the ECB was unlikely to intervene to stem the euro's rise.
1295,Iran Warned over Suspected Nuclear Weapons,World,Britain and Germany today warned Iran to comply with international demands over its suspected nuclear weapons programme. Tehran has yet to honour a deal it agreed a
1296,"Coke, Bottler and EU Reach Antitrust Deal",Business,"Coca-Cola Co. (KO.N: Quote, Profile, Research) and its largest bottler, Coca-Cola Enterprises Inc. (CCE.N: Quote, Profile, Research) , said on Tuesday they had reached an agreement to settle"
1297,Microsoft backs free dual core licences,Sci/Tech,SOFTWARE MEGALITH Microsoft said it will not charge its customers extra for using its software on hardware platforms with dual-core processors.
1298,Birds Not Being Killed by Wind Farms -Ecologist (Reuters),Sci/Tech,"Reuters - Two major offshore wind farms in Denmark\are giving the lie to fears that birds are being killed by\flying into the huge vanes of such installations, a conference\heard on Thursday."
1299,No. 21 Oklahoma Tops SE Missouri St. 84-62 (AP),Sports,AP - Dionnah Jackson had 23 points and eight assists to lead No. 21 Oklahoma to an 84-62 season-opening victory over Southeast Missouri State on Friday night.
1300,Rolls Were Nothing to Flip Over,Sci/Tech,"Last week's spectacular barrel rolls by SpaceShipOne looked a lot more frightening than they were, the project leader says. Also: There was a forlorn face in the crowd.... Sponsors line up behind effort...."
1301,Soccer Prodigy Adu Wins Cybersquatter Case,Sci/Tech,"&lt;p&gt;\&lt;/p&gt;&lt;p&gt; GENEVA (Reuters) - U.S. soccer's most expensive player,\teenage prodigy Freddy Adu, has won his cybersquatting case\against a man who claimed to be preparing a fan-based Web Site,\an international arbitrator ruled on Thursday.&lt;/p&gt;"
1302,Earthquakes Tie Burn to Clinch Playoffs (AP),Sports,AP - The San Jose Earthquakes clinched the final playoff spot in the Western Conference by tying the Dallas Burn 2-2 on Saturday night in the season finale for both teams.
1303,US Airways gets loan concessions,Business,"Some key US Airways Group Inc. lenders have agreed to extend the terms of their financing to mid-January, The Wall Street Journal reports."
1304,NOVO PROMISES RANGERS REACTION,Sports,Striker Nacho Novo expects Rangers to respond in style to their UEFA Cup setback in Holland because of the prevailing quot;great spirit quot; in the squad.
1305,Drug Firm Shares in Slump,Business,"NEW YORK, Nov. 11 -- The 40 percent share price slide in Merck #38; Co. in the five weeks after it pulled the painkiller Vioxx off the market highlighted larger problems in the pharmaceutical industry that may depress performance for years, according to academics and stock analysts who follow the sector."
1306,Clarke criticises princes views on education,World,"CHARLES Clarke, the education secretary, broke with government protocol yesterday to condemn the Prince of Wales for claiming that modern education wrongly encouraged people to think they could rise above their station."
1307,Software promises to read want-ads for you,Sci/Tech,Tired of combing the Net for the right tech job? A start-up says its program can do it--and better than online job boards.
1308,Hammons merger eyed,Business,John Q. Hammons is cooperating with a proposal by a Spanish company to take over the hotel magnates public business in a deal worth an estimated \$64 million.
1309,Nine killed in US air raids on Fallujah: hospital,World,"Nine people were killed in two pre-dawn raids by US planes on suspected reel targets in Fallujah, west of Baghdad today, according to a local hospital."
1310,Chirac Rival Sarkozy Gets French Party Boost,World,French Finance Minister Nicolas Sarkozy took over the ruling conservative party Sunday at a glitzy American-style congress that put him on course to launch a presidential bid and possibly challenge Jacques Chirac.
